50 781
0 3 42
0 4 41
0 5 14
0 6 24
0 7 8
0 8 4
0 9 9
0 11 8
0 12 14
0 17 4
0 19 31
0 20 19
0 21 16
0 22 18
0 23 10
0 24 49
0 25 13
0 26 6
0 27 13
0 28 18
0 29 49
0 30 5
0 31 20
0 32 1
0 33 27
0 34 11
0 36 29
0 38 28
0 40 12
0 41 36
0 42 17
0 43 5
0 45 29
0 46 33
0 47 29
0 48 39
0 49 37
1 2 39
1 3 47
1 4 3
1 5 45
1 6 30
1 7 24
1 9 11
1 10 49
1 12 34
1 13 11
1 14 14
1 15 43
1 17 26
1 18 34
1 21 42
1 23 32
1 25 7
1 26 46
1 30 11
1 31 18
1 32 25
1 33 41
1 34 31
1 35 13
1 37 10
1 38 36
1 40 44
1 42 44
1 44 17
1 45 35
1 46 33
1 47 8
1 49 32
2 4 37
2 5 3
2 6 15
2 8 13
2 9 17
2 15 14
2 16 48
2 18 30
2 20 30
2 21 41
2 25 6
2 26 14
2 27 35
2 28 38
2 29 23
2 31 31
2 37 2
2 39 42
2 41 9
2 42 45
2 44 25
2 45 24
2 46 6
2 47 13
2 49 21
3 8 2
3 9 30
3 10 6
3 11 35
3 12 41
3 13 39
3 16 24
3 18 44
3 19 6
3 23 38
3 26 11
3 28 20
3 29 38
3 30 41
3 31 2
3 32 29
3 33 48
3 34 18
3 35 16
3 36 38
3 37 42
3 41 0
3 42 42
3 43 34
3 44 9
3 47 38
3 48 11
4 5 35
4 6 46
4 7 24
4 10 6
4 11 48
4 12 6
4 13 13
4 17 35
4 18 47
4 19 4
4 20 12
4 21 44
4 22 10
4 23 2
4 25 7
4 26 32
4 27 40
4 28 1
4 29 36
4 30 21
4 32 49
4 35 4
4 36 39
4 37 39
4 39 46
4 40 39
4 42 34
4 43 32
4 44 0
4 46 22
4 47 43
4 48 36
4 49 18
5 7 19
5 8 42
5 9 18
5 10 26
5 11 7
5 12 3
5 13 25
5 14 13
5 16 15
5 17 19
5 18 25
5 19 19
5 21 27
5 22 9
5 23 9
5 25 30
5 27 45
5 28 32
5 29 31
5 30 0
5 32 22
5 34 20
5 36 46
5 38 13
5 39 6
5 40 29
5 41 14
5 43 28
5 44 24
5 47 0
5 48 48
5 49 44
6 8 44
6 10 18
6 11 22
6 15 4
6 16 22
6 17 47
6 18 17
6 20 39
6 23 19
6 27 43
6 28 9
6 31 48
6 33 4
6 35 20
6 36 28
6 37 0
6 38 5
6 39 9
6 40 0
6 42 29
6 43 31
6 45 48
6 46 42
7 8 38
7 9 27
7 10 6
7 12 18
7 13 4
7 14 8
7 15 19
7 17 48
7 19 3
7 21 37
7 22 20
7 23 7
7 24 11
7 25 19
7 27 26
7 28 3
7 29 40
7 31 21
7 32 14
7 33 38
7 35 26
7 36 36
7 38 16
7 41 26
7 42 41
7 44 27
7 46 28
7 47 22
7 48 9
7 49 26
8 10 15
8 13 49
8 15 4
8 16 23
8 20 17
8 21 8
8 22 32
8 23 38
8 25 8
8 26 37
8 28 26
8 29 30
8 30 44
8 32 39
8 33 1
8 34 22
8 35 42
8 36 42
8 37 44
8 39 6
8 40 30
8 42 22
8 43 43
8 44 49
8 45 48
8 48 36
8 49 28
9 12 26
9 13 9
9 15 37
9 18 2
9 19 26
9 21 38
9 22 8
9 23 49
9 26 8
9 27 18
9 29 31
9 31 46
9 35 28
9 36 20
9 37 24
9 39 8
9 40 14
9 42 14
10 11 12
10 13 39
10 15 6
10 16 4
10 17 35
10 18 15
10 19 34
10 20 7
10 21 10
10 24 35
10 25 7
10 28 46
10 29 14
10 30 33
10 32 5
10 33 3
10 35 37
10 36 33
10 38 42
10 39 48
10 40 33
10 42 0
10 43 18
10 44 16
10 45 46
10 48 49
10 49 37
11 12 21
11 14 9
11 15 3
11 16 37
11 17 21
11 18 42
11 19 43
11 21 25
11 23 27
11 24 10
11 27 12
11 28 36
11 30 20
11 33 47
11 34 43
11 35 17
11 37 11
11 38 28
11 40 24
11 42 17
11 43 16
11 44 8
11 47 9
11 48 16
11 49 43
12 13 9
12 17 36
12 18 9
12 19 7
12 20 35
12 23 46
12 24 30
12 25 45
12 27 2
12 28 17
12 29 16
12 30 46
12 31 13
12 33 42
12 36 24
12 37 23
12 38 6
12 39 10
12 40 44
12 42 3
12 46 6
12 47 13
13 14 17
13 16 34
13 17 39
13 18 34
13 19 2
13 20 49
13 21 43
13 26 18
13 27 42
13 29 4
13 31 5
13 33 4
13 35 13
13 36 42
13 37 2
13 38 44
13 39 37
13 41 4
13 43 11
13 44 6
13 47 1
13 48 26
13 49 48
14 15 27
14 16 0
14 17 4
14 18 39
14 19 46
14 21 9
14 23 45
14 24 11
14 25 26
14 26 30
14 27 2
14 28 12
14 31 32
14 32 2
14 33 7
14 34 3
14 35 46
14 37 11
14 38 10
14 39 0
14 40 27
14 42 2
14 43 3
14 49 21
15 16 40
15 17 7
15 18 34
15 20 48
15 22 10
15 23 11
15 25 48
15 27 37
15 28 13
15 35 4
15 36 27
15 37 11
15 39 13
15 41 24
15 45 24
15 46 42
15 48 4
15 49 26
16 17 4
16 18 39
16 24 28
16 26 14
16 27 42
16 30 25
16 31 27
16 34 2
16 36 27
16 38 4
16 39 4
16 40 30
16 42 25
16 46 46
16 47 40
17 18 10
17 19 44
17 21 0
17 26 23
17 27 42
17 29 40
17 30 38
17 31 46
17 35 19
17 36 49
17 38 12
17 39 43
17 40 25
17 41 4
17 42 48
17 44 1
17 45 10
17 46 37
17 47 32
18 20 24
18 21 29
18 23 9
18 26 2
18 28 33
18 29 36
18 31 6
18 35 37
18 38 17
18 39 34
18 40 36
18 42 9
18 43 46
18 44 30
18 45 9
18 46 19
19 21 25
19 24 1
19 26 7
19 28 23
19 29 20
19 30 8
19 31 35
19 32 14
19 33 33
19 34 39
19 35 14
19 36 36
19 38 2
19 41 3
19 42 18
19 44 26
19 45 32
19 46 27
19 47 30
20 21 17
20 26 16
20 27 37
20 29 4
20 30 33
20 31 21
20 33 42
20 34 44
20 35 17
20 36 25
20 37 5
20 38 38
20 39 0
20 40 7
20 41 47
20 42 23
20 45 27
20 46 7
20 47 9
20 48 43
20 49 42
21 22 0
21 23 7
21 24 28
21 28 2
21 29 10
21 30 47
21 31 31
21 32 44
21 34 26
21 35 11
21 38 11
21 40 42
21 41 48
21 42 18
21 43 27
21 45 21
21 47 10
21 49 21
22 24 40
22 25 37
22 27 29
22 28 30
22 32 37
22 33 36
22 34 29
22 35 13
22 36 13
22 37 36
22 40 24
22 41 9
22 43 28
22 44 24
22 45 16
22 47 9
22 48 29
22 49 27
23 24 8
23 25 10
23 26 21
23 28 34
23 29 23
23 30 35
23 31 29
23 32 24
23 36 3
23 37 8
23 39 45
23 40 15
23 42 32
